,vendor_name,capec_count,tags,countermeasures
0,GE Smart,280,"['adversary exploits weakness', 'adversary execute flooding', 'adversary execute flooding', 'adversary exploits functionality', 'within application framework', 'within application framework', 'within application framework', 'within application framework', 'adversary exploits functionality', 'adversary previously installed', 'adversary']","[' Disable iFrames in the Web browser. Operation: When maintaining an authenticated session with a privileged target system, do not use the same browser to navigate to unfamiliar sites to perform other activities. Finish working with the target system and logout first before proceeding to other tasks. Operation: If using the Firefox browser, use the NoScript plug-in that will help forbid iFrames.', ' Disable Java Script in the browser', ' Make sure your DNS servers have been updated to the latest versions  UNIX services like rlogin, rsh/rcp, xhost, and nfs are all susceptible to wrong information being held in a cache. Care should be taken with these services so they do not rely upon DNS caches that have been exposed to the Internet.  Disable client side DNS caching.', ' Disable client side caching. Implementation: Listens for query replies on a network, and sends a notification via email when an entry changes.']"
0,GE Smart,280,"['adversary exploits weakness', 'adversary execute flooding', 'adversary execute flooding', 'adversary exploits functionality', 'within application framework', 'within application framework', 'within application framework', 'within application framework', 'adversary exploits functionality', 'adversary previously installed', 'adversary']","[' Disable iFrames in the Web browser. Operation: When maintaining an authenticated session with a privileged target system, do not use the same browser to navigate to unfamiliar sites to perform other activities. Finish working with the target system and logout first before proceeding to other tasks. Operation: If using the Firefox browser, use the NoScript plug-in that will help forbid iFrames.', ' Disable Java Script in the browser', ' Make sure your DNS servers have been updated to the latest versions  UNIX services like rlogin, rsh/rcp, xhost, and nfs are all susceptible to wrong information being held in a cache. Care should be taken with these services so they do not rely upon DNS caches that have been exposed to the Internet.  Disable client side DNS caching.', ' Disable client side caching. Implementation: Listens for query replies on a network, and sends a notification via email when an entry changes.']"
0,Edimax,64,"['malicious script', 'possibility encode potentially', 'scripting malicious script', 'user controllable input', 'considerations exactly inspection', 'scripting malicious script', 'buffer overflow vulnerability', 'handling routines', 'possibility encode potentially', 'causing buffer overflow', 'input']",[]
0,GE Smart,280,"['adversary exploits weakness', 'adversary execute flooding', 'adversary execute flooding', 'adversary exploits functionality', 'within application framework', 'within application framework', 'within application framework', 'within application framework', 'adversary exploits functionality', 'adversary previously installed', 'adversary']","[' Disable iFrames in the Web browser. Operation: When maintaining an authenticated session with a privileged target system, do not use the same browser to navigate to unfamiliar sites to perform other activities. Finish working with the target system and logout first before proceeding to other tasks. Operation: If using the Firefox browser, use the NoScript plug-in that will help forbid iFrames.', ' Disable Java Script in the browser', ' Make sure your DNS servers have been updated to the latest versions  UNIX services like rlogin, rsh/rcp, xhost, and nfs are all susceptible to wrong information being held in a cache. Care should be taken with these services so they do not rely upon DNS caches that have been exposed to the Internet.  Disable client side DNS caching.', ' Disable client side caching. Implementation: Listens for query replies on a network, and sends a notification via email when an entry changes.']"
0,Edimax,64,"['malicious script', 'possibility encode potentially', 'scripting malicious script', 'user controllable input', 'considerations exactly inspection', 'scripting malicious script', 'buffer overflow vulnerability', 'handling routines', 'possibility encode potentially', 'causing buffer overflow', 'input']",[]
0,Haier,0,[],[]
0,GE Smart,280,"['adversary exploits weakness', 'adversary execute flooding', 'adversary execute flooding', 'adversary exploits functionality', 'within application framework', 'within application framework', 'within application framework', 'within application framework', 'adversary exploits functionality', 'adversary previously installed', 'adversary']","[' Disable iFrames in the Web browser. Operation: When maintaining an authenticated session with a privileged target system, do not use the same browser to navigate to unfamiliar sites to perform other activities. Finish working with the target system and logout first before proceeding to other tasks. Operation: If using the Firefox browser, use the NoScript plug-in that will help forbid iFrames.', ' Disable Java Script in the browser', ' Make sure your DNS servers have been updated to the latest versions  UNIX services like rlogin, rsh/rcp, xhost, and nfs are all susceptible to wrong information being held in a cache. Care should be taken with these services so they do not rely upon DNS caches that have been exposed to the Internet.  Disable client side DNS caching.', ' Disable client side caching. Implementation: Listens for query replies on a network, and sends a notification via email when an entry changes.']"
0,Edimax,64,"['malicious script', 'possibility encode potentially', 'scripting malicious script', 'user controllable input', 'considerations exactly inspection', 'scripting malicious script', 'buffer overflow vulnerability', 'handling routines', 'possibility encode potentially', 'causing buffer overflow', 'input']",[]
0,Haier,0,[],[]
0,HomeMatic,153,"['adversary exploits', 'protected stateful firewall', 'adversary exploits functionality', 'different operating systems', 'authentication mechanism', 'adversary exploits functionality', 'adversary exploits functionality', 'sensitive information', 'adversary exploits functionality', 'adversary exploits functionality', 'adversary']",[' Disable Java Script in the browser']
